State,Rating,Flip Status,Median Margin,Dem % chance of winning,GOP % chance of winning
AL,Safe R,FALSE,-31.367226,0,100
AR,Safe R,FALSE,-28.504572,0,100
AZ,Lean R,FALSE,-1.573731,42.13134,57.86866
CA,Safe D,FALSE,25.783446,100,0
CO,Safe D,FALSE,20.183131,100,0
CT,Safe D,FALSE,18.993116,100,0
FL,Safe R,FALSE,-14.502005,0,100
GA,Likely R,FALSE,-6.610166,16.94917,83.05083
HI,Safe D,FALSE,21.287061,100,0
IA,Safe R,FALSE,-21.355824,0,100
ID,Safe R,FALSE,-33.652297,0,100
IL,Safe D,FALSE,19.61154,100,0
KS,Lean D,FALSE,3.353948,66.76974,33.23026
MA,Safe D,TRUE,26.443659,100,0
MD,Safe D,TRUE,29.225509,100,0
ME,Likely D,FALSE,5.809016,79.04508,20.95492
MI,Likely D,FALSE,5.060947,75.30474,24.69526
MN,Safe D,FALSE,9.430038,97.15019,2.84981
NE,Safe R,FALSE,-19.891467,0,100
NH,Safe R,FALSE,-24.093405,0,100
NM,Likely D,FALSE,5.936734,79.68367,20.31633
NV,Tossup,TRUE,-0.766418,46.16791,53.83209
NY,Safe D,FALSE,11.237171,100,0
OH,Safe R,FALSE,-24.701163,0,100
OK,Likely R,FALSE,-5.570485,22.14758,77.85242
OR,Lean D,FALSE,1.349297,56.74648,43.25352
PA,Safe D,FALSE,10.59486,100,0
RI,Safe D,FALSE,18.208487,100,0
SC,Safe R,FALSE,-17.792756,0,100
SD,Safe R,FALSE,-18.49198,0,100
TN,Safe R,FALSE,-31.164392,0,100
TX,Safe R,FALSE,-12.380219,0,100
VT,Safe R,FALSE,-39.905781,0,100
WI,Tossup,TRUE,-0.85201,45.73995,54.26005
WY,Safe R,FALSE,-52.213766,0,100
