District,Demographics Adjusted Model,D Probability %,Rating
AK00,2.625985433,69.9942451,Lean Democratic
AL01,-58.58518772,0,Safe Republican
AL02,11.87003758,99.10414508,Safe Democratic
AL06,-44.02888875,0,Safe Republican
AL07,35.08771241,100,Safe Democratic
AR01,-49.11496231,0,Safe Republican
AR02,-17.01911744,0.0344090571,Safe Republican
AR03,-24.66254319,0.0000436,Safe Republican
AR04,-43.34184026,0,Safe Republican
AZ01,1.627657229,62.7351781,Lean Democratic
AZ02,-9.478588833,2.927283849,Safe Republican
AZ03,54.35530938,100,Safe Democratic
AZ04,17.65487534,99.97850701,Safe Democratic
AZ05,-15.13226695,0.1272509988,Safe Republican
AZ06,0.6417907406,55.09605294,Tossup
AZ07,37.11069144,100,Safe Democratic
AZ08,-13.368682,0.3835561112,Safe Republican
AZ09,-31.43868854,0.000000018,Safe Republican
CA01,-22.03780216,0.000553462843,Safe Republican
CA02,53.14045746,100,Safe Democratic
CA03,-4.660015286,17.63460048,Likely Republican
CA04,42.07510407,100,Safe Democratic
CA05,-18.80462927,0.008829663812,Safe Republican
CA06,21.54878484,99.99913683,Safe Democratic
CA07,44.56616183,100,Safe Democratic
CA08,60.19427417,100,Safe Democratic
CA09,10.99590013,98.58963467,Safe Democratic
CA10,46.90969692,100,Safe Democratic
CA11,75.24486153,100,Safe Democratic
CA13,2.736018363,70.7471183,Likely Democratic
CA14,43.28049321,100,Safe Democratic
CA15,61.81270246,100,Safe Democratic
CA17,52.35555564,100,Safe Democratic
CA18,40.12017344,100,Safe Democratic
CA19,44.89440328,100,Safe Democratic
CA21,16.32467701,99.9434529,Safe Democratic
CA22,2.888969839,71.79334372,Likely Democratic
CA23,-14.5324791,0.1875857273,Safe Republican
CA24,30.04343626,100,Safe Democratic
CA25,22.99421586,99.99977398,Safe Democratic
CA26,19.46945024,99.99483979,Safe Democratic
CA27,2.336776581,67.95259118,Lean Democratic
CA28,41.86122867,100,Safe Democratic
CA29,50.60168737,100,Safe Democratic
CA30,50.05354781,100,Safe Democratic
CA31,34.76757308,100,Safe Democratic
CA32,43.57439764,100,Safe Democratic
CA33,23.84124901,100,Safe Democratic
CA35,22.70251818,99.99970189,Safe Democratic
CA36,49.17899898,100,Safe Democratic
CA37,88.02436616,100,Safe Democratic
CA38,24.88244873,100,Safe Democratic
CA39,23.81607558,99.9998982,Safe Democratic
