District,Demographics Adjusted Model,D Probability %,Rating
AK,-9.28065976,3.192461033,Safe Republican
AL,-26.90453288,0.00000403,Safe Republican
AR,-26.2082246,0.00000844,Safe Republican
AZ,-1.291523042,39.65034329,Lean Republican
CA,30.48230866,99.99999995,Safe Democratic
CO,14.95892887,99.8587616,Safe Democratic
CT,20.62311016,99.99807079,Safe Democratic
DC,89.36223953,100,Safe Democratic
DE,20.00097703,99.99672545,Safe Democratic
FL,-6.384886796,9.973106375,Likely Republican
GA,-0.8614065559,43.045985,Tossup
HI,26.96513526,99.99999623,Safe Democratic
IA,-7.063807051,7.920416943,Likely Republican
ID,-31.50037882,0.0000000167,Safe Republican
IL,16.32891859,99.94362113,Safe Democratic
IN,-16.51282736,0.04905674954,Safe Republican
KS,-12.45321804,0.6470091804,Safe Republican
KY,-26.33858627,0.00000749,Safe Republican
LA,-20.71898082,0.001797043907,Safe Republican
MA,32.09523913,99.99999999,Safe Democratic
MD,33.4792519,100,Safe Democratic
ME,10.46868703,98.17769622,Safe Democratic
MECD,-5.284529822,14.54872425,Likely Republican
MI,1.356028179,60.91732235,Lean Democratic
MN,7.330530092,92.87859522,Likely Democratic
MO,-15.60131297,0.09196420582,Safe Republican
MS,-18.79959983,0.008865052349,Safe Republican
MT,-17.2589572,0.02805857923,Safe Republican
NC,-1.056926763,41.49048766,Tossup
ND,-31.53882016,0.0000000154,Safe Republican
NE,-18.21950934,0.01358584393,Safe Republican
NECD,8.680842531,95.86229711,Safe Democratic
NH,6.379154897,89.91961495,Likely Democratic
NJ,16.06813045,99.93307989,Safe Democratic
NM,8.308757835,95.16056623,Safe Democratic
NV,-0.957936696,42.32182598,Tossup
NY,19.85797321,99.99637354,Safe Democratic
OH,-9.64154324,2.675404463,Safe Republican
OK,-34.06634501,0.000000000525,Safe Republican
OR,14.56002533,99.81715515,Safe Democratic
PA,0.09017088487,50.73699853,Tossup
RI,18.81842176,99.99145415,Safe Democratic
SC,-12.18779415,0.7473601283,Safe Republican
SD,-27.13882447,0.00000304,Safe Republican
TN,-22.83346783,0.00025802773,Safe Republican
TX,-6.383238813,10.03811745,Likely Republican
UT,-19.81228387,0.003767883667,Safe Republican
VA,6.477317535,90.30266365,Likely Democratic
VT,36.45305954,100,Safe Democratic
WA,18.65448044,99.99023122,Safe Democratic
WI,0.9217874058,57.46635544,Tossup
WV,-37.1552672,0,Safe Republican
WY,-43.05036459,0,Safe Republican
