District,Demographics Adjusted Model,D Probability %,Rating
AZ,2.569319266,69.78229145,Lean Democratic
CA,28.30573191,99.99999922,Safe Democratic
CT,27.09495975,99.99999674,Safe Democratic
DE,24.52272286,99.99994977,Safe Democratic
FL,-7.488883656,6.664216553,Likely Republican
HI,34.65414084,100,Safe Democratic
IN,-17.25670215,0.028911225,Safe Republican
MA,37.77286265,100,Safe Democratic
MD,19.91666923,99.99659877,Safe Democratic
ME,41.03182059,100,Safe Democratic
MI,3.256496221,74.44708859,Likely Democratic
MN,18.92051767,99.99220236,Safe Democratic
MO,-14.43538434,0.1961853086,Safe Republican
MS,-21.14406984,0.00122365208,Safe Republican
MT,-5.534272287,13.41376238,Likely Republican
ND,-30.46766443,0.0000000591,Safe Republican
NE,-9.056556622,3.513056664,Safe Republican
NJ,18.83693764,99.99156491,Safe Democratic
NM,20.36245446,99.99755717,Safe Democratic
NV,4.698205194,82.72069068,Likely Democratic
NY,27.30158688,99.9999975,Safe Democratic
OH,-0.2953717107,47.64324461,Tossup
PA,2.779203221,71.30187698,Likely Democratic
RI,21.87907854,99.99937199,Safe Democratic
TN,-22.44111933,0.0003681146575,Safe Republican
TX,-2.718416845,29.28927899,Likely Republican
UT,-24.29490541,0.0000612,Safe Republican
VA,12.20736221,99.26622293,Safe Democratic
VT,44.22957392,100,Safe Democratic
WA,19.23057,99.99384346,Safe Democratic
WI,2.421147123,68.71250389,Lean Democratic
WV,-37.47150162,0,Safe Republican
WY,-50.71170111,0,Safe Republican
