County,Fed. Lean,State Lean,16,20,24,17,21,boosts,21votes,pct,Lean,preprocessed,prediction,swingunformatted,Forecast,Swing
Atlantic,-9.021678051429669,-11.38472084863693,7.24734627774746,D+6.8,R+3.1,12.989236790606654,R+11.4,-2,81308,0.031094280974391,R+9.6,-3.053835306294973,-1.0432538613909212,2.040632869595171,R+1.0,D+2.0
Bergen,-1.9060606335487984,2.0189978478035595,13.689826424743078,D+16.6,D+3.5,15.32816758784667,D+5.6,-1,276350,0.105683383520352,R+0.9,6.6338074312258035,8.644388876129856,5.183845826120518,D+8.6,D+5.2
Burlington,8.833717142359212,3.0630223486480332,15.380787404560254,D+19.9,D+16.9,14.890251459508821,D+7.2,-2,155547,0.059485193618383,D+7.4,13.94964688836793,15.960228333271981,-0.8951236904392097,D+16.0,R+0.9
Camden,20.933647450078585,21.574867613594424,33.775553002534785,D+34.0,D+27.8,37.29905981534199,D+24.4,-2,149392,0.057131362514465,D+21.1,27.652555935394055,29.663137380298107,1.8135428651330123,D+29.7,D+1.8
Cape May,-27.446107906063286,-27.854055315349573,-20.5441139079583,R+16.1,R+19.5,-8.597224093787899,R+26.2,-2,38661,0.014784965769062,R+27.5,-20.989491313948342,-18.97890986904429,0.5437578385339172,R+19.0,D+0.5
Cumberland,-9.734715871328323,-11.597209860231823,6.353400735294118,D+6.1,R+3.8,13.823380015964009,R+12.0,-2,32029,0.012248717534914,R+10.2,-3.641735924117686,-1.6311544792136345,2.165993135352354,R+1.6,D+2.2
Essex,39.929553195684406,46.023495788411275,58.43861940114403,D+55.9,D+45.6,61.73338413396377,D+48.8,1,179167,0.068518092184516,D+41.5,51.01164228830264,53.02222373320669,7.41892523464589,D+53.0,D+7.4
Gloucester,-10.26754352748034,-10.253469336336376,-0.5014358623357685,D+2.0,R+2.9,13.237161918258753,R+10.0,-2,100748,0.038528639489446,R+10.3,-3.7054215352578357,-1.6948400903537841,1.1551790414333714,R+1.7,D+1.2
Hudson,25.451726003403763,46.4759659417821,53.941585274229894,D+46.8,D+28.9,64.21442324685835,D+48.6,-2,119715,0.04578211057767,D+30.7,37.26638943243486,39.27697087733891,10.412551575048521,D+39.3,D+10.4
Hunterdon,-15.407926814690423,-25.296337082695324,-14.515604200562047,R+4.5,R+6.8,-20.292759824344106,R+18.9,2,56784,0.021715669440274,R+17.9,-7.321425937255137,-5.310844492351086,1.4863237740938802,R+5.3,D+1.5
Mercer,27.536268325494717,25.51977743370187,38.80424990726512,D+40.7,D+34.6,32.37860917726756,D+31.3,-3,101625,0.038864026959493,D+27.0,32.59074904698302,34.60133049188707,0.012512232714932736,D+34.6,D+0.0
Middlesex,3.3557101214094835,7.76346604090795,22.180906780760576,D+22.4,D+8.3,17.40934995081118,D+12.6,-3,208758,0.079834455498251,D+4.5,10.016252545720612,12.026833990624663,3.743957806116631,D+12.0,D+3.7
Monmouth,-18.358076574513014,-23.11420803619023,-9.720832894598294,R+2.8,R+11.6,-12.208977823460822,R+18.7,-2,239788,0.091701129609474,R+19.5,-12.988505995495805,-10.977924550591753,0.6184699308959054,R+11.0,D+0.6
Morris,-10.105695250841364,-16.562823662963552,-4.484501906182662,D+4.3,R+2.8,-8.195641510756078,R+11.3,4,185923,0.071101761224008,R+11.7,0.8386260905646008,2.8492075354686524,5.6319713821103115,D+2.8,D+5.6
Ocean,-43.479281939941544,-39.74808777449639,-34.53004744036149,R+29.1,R+36.5,-26.857423553972737,R+36.0,-2,215810,0.082531322589207,R+42.5,-35.98787995414374,-33.97729850923969,2.48977113501698,R+34.0,D+2.5
Passaic,-5.986085895465557,2.4802137882722324,23.123889465941865,D+16.8,R+3.0,22.622670724544825,D+3.8,-2,112324,0.04295560112372,R+3.9,2.689092469905402,4.699673914809454,7.656177917664994,D+4.7,D+7.7
Salem,-26.549174631662282,-29.296500709651895,-15.828177479229275,R+13.1,R+19.5,-4.956516450769325,R+29.3,-2,19691,0.00753034740329,R+27.2,-20.67740270672317,-18.66682126181912,0.8519303773101754,R+18.7,D+0.9
Somerset,7.015855426432465,-2.70090361290769,13.349736100638914,D+21.4,D+14.3,1.8898476144001066,D+3.8,-3,113672,0.0434711111689,D+4.6,10.145269111033937,12.155850555937988,-2.1242449955944807,D+12.2,R+2.1
Sussex,-33.34780941481934,-38.65715740209512,-31.672075631437846,R+20.0,R+25.4,-24.417123824451412,R+35.3,2,54319,0.020772989721158,R+34.7,-24.116542967201767,-22.105961522297715,3.277118028350575,R+22.1,D+3.3
Union,19.11688766231149,20.393725774702837,36.793363275305296,D+36.1,D+24.6,33.33838958412338,D+24.1,-1,136318,0.052131526957581,D+19.4,26.99470063484584,29.005282079749893,4.357877367198601,D+29.0,D+4.4
Warren,-29.140801644877108,-35.25060525904976,-26.680667812214935,R+16.5,R+21.1,-26.730727233020314,R+30.0,2,36957,0.014133312121446,R+30.7,-20.109649103983756,-18.099067659079704,2.97725659206262,R+18.1,D+3.0
