County,Fed. Lean,State Lean,16,20,24,17,21,boosts,21votes,pct,Lean,preprocessed,prediction,swingunformatted,Forecast,Swing
Accomack,-19.28345584545785,-19.958166146627388,-12.02767082164067,R+9.5,R+13.4,-8.10403316999623,R+22.8,-3.0,12897,0.003920740067428,R+19.5,-12.805085926037362,-12.786037381645196,0.6290979438993354,R+12.8,D+0.6
Albemarle,27.29743905731179,25.209620423002438,26.777431374039995,D+34.2,D+34.6,28.95806436188017,D+25.0,1.0,51443,0.015638879684322,D+26.8,37.42253189344733,37.44158043783949,2.838589192703303,D+37.4,D+2.8
Alexandria,53.40698626963675,52.42222041650249,62.32648489231075,D+64.0,D+58.9,58.14996712943269,D+51.6,3.0,58330,0.017732555488337,D+53.2,65.80784230106605,65.82689084545821,6.909019405594876,D+65.8,D+6.9
Alleghany,-53.712268004431856,-46.22393304361626,-38.465909090909086,R+44.6,R+48.5,-32.29500687127806,R+49.8,0.0,6079,0.001848040541978,R+51.8,-42.193136769515085,-42.174088225122915,6.308914089973953,R+42.2,D+6.3
Amelia,-49.603600104816536,-47.18374239866226,-37.741369221767116,R+38.2,R+44.6,-38.63984255412202,R+49.0,1.0,6362,0.001934073684499,R+49.0,-38.35158818356509,-38.33253963917292,6.248186268211306,R+38.3,D+6.2
Amherst,-42.216922052610784,-39.91026143523567,-31.551164049810502,R+32.1,R+36.8,-28.018313924554594,R+42.8,0.0,13706,0.004166679333502,R+41.6,-31.993209403554133,-31.974160859161966,4.791315816628607,R+32.0,D+4.8
Appomattox,-57.01573990251503,-59.70566818111533,-47.71258723184285,R+47.0,R+51.4,-52.0796719390744,R+61.2,0.0,7440,0.002261790036572,R+57.7,-48.04117447745223,-48.02212593306007,3.394201024188817,R+48.0,D+3.4
Arlington,54.421523514366584,55.37800240770095,64.01846669399832,D+65.0,D+59.9,61.43241545263807,D+54.4,3.0,95231,0.02895060846408,D+54.7,67.30769073241305,67.32673927680521,7.468699505660382,D+67.3,D+7.5
Augusta,-54.92972541661731,-55.38125522098518,-52.37623762376238,R+47.8,R+48.0,-48.12233836624081,R+56.7,0.0,33613,0.010218487701517,R+55.0,-45.39556037299641,-45.37651182860424,2.5930081567945606,R+45.4,D+2.6
Bath,-58.933323525935975,-54.72195894638098,-43.93305439330544,R+47.9,R+54.1,-38.48257006151743,R+59.1,0.0,1947,0.000591895860377,R+57.9,-48.23343488633436,-48.21438634194219,5.919779024672472,R+48.2,D+5.9
Bedford,-57.18666805264467,-57.28384189447315,-51.67586019244565,R+49.0,R+50.8,-49.306916321939184,R+58.9,0.0,39079,0.011880173768708,R+57.2,-47.563914018388914,-47.54486547399675,3.2235111197650284,R+47.5,D+3.2
Bland,-76.67158224519258,-70.70226793878001,-70.05948446794447,R+69.0,R+70.2,-62.4031007751938,R+72.4,0.0,2651,0.000805914702547,R+75.2,-65.53220617387656,-65.5131576294844,4.731021814013616,R+65.5,D+4.7
Botetourt,-52.424012419960185,-51.93384954988292,-49.700598802395206,R+45.2,R+45.5,-44.90059802812348,R+53.2,0.0,17125,0.005206069136598,R+52.3,-42.654424207728,-42.635375663335836,2.8761162071445696,R+42.6,D+2.9
Bristol,-46.941894072976055,-46.825508072132244,-45.44373420544076,R+39.6,R+39.9,-41.52542372881356,R+47.5,0.0,5147,0.001564708779333,R+46.9,-37.26575007805223,-37.24670153366006,2.6832930813103246,R+37.2,D+2.7
Brunswick,3.851800207124006,6.525507661455243,19.064700411850673,D+15.1,D+8.6,15.154073448712538,D+4.7,1.0,6084,0.001849560562164,D+4.5,15.167274565419689,15.186323109811855,6.609704451449327,D+15.2,D+6.6
Buchanan,-76.31104286674,-66.39996676155273,-61.82765886658533,R+67.9,R+70.8,-52.915096430946576,R+69.8,0.0,6000,0.001824024223042,R+73.8,-64.1862263457303,-64.16717780133814,6.674225254396745,R+64.2,D+6.7
