office_code,datawrapper,state,dem_fec_id,dem_name,dem_first_name,dem_last,dem_status,rep_fec_id,rep_name,rep_first_name,rep_last,rep_status,incumbent_bonus,dem_polling,rep_polling,polling_margin,num_polls,total_weight,dem_funds,rep_funds,funds_score,trump_16,clinton_16,trump_20,biden_20,trump_24,harris_24,dem_24,rep_24,total_adult_pop,white,hispanic,black,asian,native_american,pacific_islander,income_lt25k,income_25_50k,income_50_100k,income_100_200k,income_200kplus,edu_hs,edu_bachelor,edu_grad,urban,suburban,rural,lean,date,margin,dem_probability,rep_probability,dem_polling,rep_polling,polling_avg,fundamentals,polling_weight,fundamentals_weight,dem_pct,rep_pct,has_polls,24to26,rating,datawrapper_incumbent_bonus,datawrapper_polling_margin,datawrapper_funds_score,datawrapper_24to26,datawrapper_margin
AK-01,AK-AL,AK,H6AK01068,John Brendan Williams,John,Williams,CHALLENGER,H2AK01083,Nicholas Begich,Nicholas,Begich,INCUMBENT,5.549480792879679,,,,,,0.0,1098533.125,-4.701326787379304,163387.0,116454.0,189951.0,153778.0,184458.0,140026.0,156985.0,164861.0,,,,,,,,,,,,,,,,,,,-11.637339073569924,2025-10-07,-8.723189350484368,43.84645716857815,56.15354283142185,,,,-8.039171477183888,0.0,1.0,45.63840532475781,54.36159467524219,False,4.969935734265572,Toss-up,D+5.5,N/A,R+4.7,D+5.0,R+8.7
AK-SEN,AK,AK,H2AK01158,Mary Peltola,Ann,Peltola,CHALLENGER,S4AK00214,Dan Sullivan,Dan,Sullivan,INCUMBENT,-1.0897659715568935,42.74471175156599,45.573313053730004,-2.8286013021640173,3.0,-0.011524530467727265,155166.125,2339956.435,-3.6828155998545196,163387.0,116454.0,189951.0,153778.0,184458.0,140026.0,156985.0,164861.0,554003.0,340580.0,33441.0,23665.0,43407.0,105737.0,11184.0,25245.0,44810.0,82081.0,76850.0,27700.0,293999.0,101422.0,57868.0,57117.0,125869.0,66628.0,-11.637339073569924,2025-10-07,-12.5266529922832,41.19442648760169,58.80557351239831,42.74471175156599,45.573313053730004,-2.8286013021640173,-12.42266923003257,0.0,1.0,43.7366735038584,56.2633264961416,True,1.1664720924667407,Toss-up,R+1.1,R+2.8,R+3.7,D+1.2,R+12.5
AL-01,AL-01,AL,H6AL01078,Kimberly Thomas,Kimberly,Thomas,CHALLENGER,H8AL02171,Felix Barry Moore,Felix,Moore,INCUMBENT,-0.7893598621363851,,,,,,0.0,258550.79499999998,-2.7297952138551413,219528.0,64543.0,242615.0,79475.0,257309.0,73202.0,70929.0,258619.0,,,,,,,,,,,,,,,,,,,-53.00152533816704,2025-10-07,-51.059995966527666,17.64304289210056,82.35695710789943,,,,-50.86607835331957,0.0,1.0,24.470002016736167,75.52999798326383,False,4.643747630508436,Likely R,R+0.8,N/A,R+2.7,D+4.6,R+51.1
AL-02,AL-02,AL,H4AL02170,Shomari C Figures,Shomari,Figures,INCUMBENT,GENERIC-REP,Generic Republican,Generic,Republican,GENERIC,0.47891093179546346,,,,,,259911.46000000002,0.0,10.0,132446.0,162800.0,136081.0,173588.0,131501.0,155343.0,158041.0,131414.0,,,,,,,,,,,,,,,,,,,10.856538949050071,2025-10-07,16.538775242699877,61.56727190063247,38.43272809936753,,,,16.570595132210855,0.0,1.0,58.269387621349935,41.730612378650065,False,8.226940238307247,Lean D,D+0.5,N/A,D+10.0,D+8.2,D+16.5
AL-03,AL-03,AL,H6AL03199,Victor Lee Mcinnis,Victor,Mcinnis,CHALLENGER,H2AL03032,Michael Rogers,Michael,Rogers,INCUMBENT,-10.0,,,,,,0.0,1630073.7650000001,-5.271854960615006,200498.0,79534.0,225369.0,93350.0,230168.0,82876.0,82876.0,230168.0,,,,,,,,,,,,,,,,,,,-44.045193348923235,2025-10-07,-49.85677378991918,18.17954059274112,81.82045940725888,,,,-49.32120299603144,0.0,1.0,25.07161310504041,74.92838689495959,False,-2.805241098029221,Likely R,R+10.0,N/A,R+5.3,R+2.8,R+49.9
AL-04,AL-04,AL,H6AL05228,Amanda Noelle Pusczek,Amanda,Pusczek,CHALLENGER,H6AL04098,Robert B Rep Aderholt,Robert,Aderholt,INCUMBENT,-10.0,,,,,,0.0,718654.54,-4.098927945558594,236382.0,51864.0,262493.0,60090.0,258636.0,49720.0,49720.0,258636.0,,,,,,,,,,,,,,,,,,,-64.86300785648902,2025-10-07,-69.33242333020151,11.064352629061757,88.93564737093824,,,,-69.55255399606902,0.0,1.0,15.333788334899246,84.66621166510075,False,-1.5808634448741543,Likely R,R+10.0,N/A,R+4.1,R+1.6,R+69.3
AL-05,AL-05,AL,H6AL05244,Andrew Rankin Guyton Sneed,Andrew,Sneed,CHALLENGER,H2AL05102,Dale Whitney Strong,Dale,Strong,INCUMBENT,-10.0,,,,,,67819.31,691862.255,-2.7600171091306502,189857.0,92161.0,216451.0,122859.0,233123.0,124533.0,124533.0,233123.0,,,,,,,,,,,,,,,,,,,-28.464345727587066,2025-10-07,-32.6878802767036,27.898524762593212,72.10147523740679,,,,-32.4844364489531,0.0,1.0,33.6560598616482,66.3439401383518,False,-2.326303789799983,Lean R,R+10.0,N/A,R+2.8,R+2.3,R+32.7
AL-06,AL-06,AL,H6AL06143,Keith Ross Pilkington,Keith,Pilkington,CHALLENGER,H4AL06098,Gary Palmer,Gary,Palmer,INCUMBENT,-1.096979375955212,,,,,,0.0,319598.045,-3.0005895672348437,225339.0,80167.0,242147.0,107539.0,240522.0,104267.0,102504.0,243741.0,,,,,,,,,,,,,,,,,,,-38.2071133571448,2025-10-07,-36.79349267457335,25.416333938650197,74.5836660613498,,,,-36.4121432248664,0.0,1.0,31.603253662713325,68.39674633728667,False,2.7248794312652933,Lean R,R+1.1,N/A,R+3.0,D+2.7,R+36.8
AL-07,AL-07,AL,H0AL07086,Terri A Sewell,Terri,Sewell,INCUMBENT,H6AL07182,Gavin Solomon,Gavin,Solomon,CHALLENGER,2.0312553184505617,,,,,,2262460.11,0.0,5.75106632111989,114556.0,198521.0,115999.0,212705.0,111356.0,182469.0,186723.0,106312.0,,,,,,,,,,,,,,,,,,,27.043890499503412,2025-10-07,35.07728430846872,73.55726980354545,26.442730196454548,,,,35.30017837222969,0.0,1.0,67.53864215423437,32.46135784576563,False,10.874782819487184,Lean D,D+2.0,N/A,D+5.8,D+10.9,D+35.1
AL-SEN,AL,AL,S6AL00435,Kyle Sweetser,Kyle,Sweetser,OPEN,S6AL00450,Steven T Marshall,Steven,Marshall,CHALLENGER,2.73227821518483,,,,,,52056.955,214841.365,-1.4303999764482707,1318606.0,729590.0,1441155.0,849606.0,1462615.0,772410.0,775326.0,1462013.0,3917166.0,2564544.0,166856.0,976732.0,59997.0,18137.0,1872.0,444134.0,439137.0,562495.0,369747.0,91011.0,3004284.0,921679.0,345845.0,378119.0,773780.0,704405.0,-28.10488634803751,2025-10-07,-25.271319530718387,32.60000707448957,67.39999292551043,,,,-25.21597923496922,0.0,1.0,37.36434023464081,62.63565976535919,False,5.609990521741878,Lean R,D+2.7,N/A,R+1.4,D+5.6,R+25.3
AR-01,AR-01,AR,H6AR01122,Samuel Goodman Baker,Samuel,Baker,CHALLENGER,H0AR01083,Eric Alan Rick Crawford,Eric,Crawford,INCUMBENT,-1.7938334019045488,,,,,,0.0,621960.655,-3.8972651764106923,178516.0,82086.0,197486.0,79697.0,196035.0,72184.0,64113.0,203064.0,,,,,,,,,,,,,,,,,,,-43.1113344109347,2025-10-07,-46.035588002131746,20.186295518696248,79.81370448130374,,,,-46.95281119802159,0.0,1.0,26.982205998934127,73.01779400106588,False,0.1397388762773133,Likely R,R+1.8,N/A,R+3.9,D+0.1,R+46.0
AR-02,AR-02,AR,H6AR02294,Zackary Blake Huffman,Zackary,Huffman,CHALLENGER,H4AR02141,James French Hill,James,Hill,INCUMBENT,-1.169371730945426,,,,,,0.0,1898082.85,-5.4938670130061205,166651.0,120728.0,183645.0,140201.0,180710.0,131088.0,125777.0,180509.0,,,,,,,,,,,,,,,,,,,-13.7502171482198,2025-10-07,-17.924431689088742,37.48943054205593,62.51056945794407,,,,-17.973687072964992,0.0,1.0,41.037784155455626,58.962215844544374,False,-2.009640702616732,Lean R,R+1.2,N/A,R+5.5,R+2.0,R+17.9
AR-03,AR-03,AR,H6AR03128,Robb Ryerse,Robb,Ryerse,CHALLENGER,H0AR03055,Stephen A The Hon Womack,Stephen,Womack,INCUMBENT,-3.5702409049209556,,,,,,4939.554999999999,1257027.155,-4.753915363660274,156559.0,82402.0,180639.0,110437.0,189161.0,112073.0,95652.0,205432.0,,,,,,,,,,,,,,,,,,,-24.009202340442922,2025-10-07,-29.44797875161172,29.919868681433364,70.08013131856663,,,,-29.463275889832204,0.0,1.0,35.27601062419414,64.72398937580586,False,-3.8572419821899437,Lean R,R+3.6,N/A,R+4.8,R+3.9,R+29.4
AR-04,AR-04,AR,GENERIC-DEM,Generic Democrat,Generic,Democrat,GENERIC,H4AR04048,Bruce Westerman,Bruce,Westerman,INCUMBENT,-2.955991305897138,,,,,,0.0,2133456.3000000003,-10.0,182563.0,93776.0,197902.0,91965.0,193335.0,81560.0,73207.0,197046.0,,,,,,,,,,,,,,,,,,,-37.5691483675032,2025-10-07,-43.16558352674556,21.75472871472215,78.24527128527785,,,,-43.06924551754814,0.0,1.0,28.41720823662722,71.58279176337278,False,-2.5046038799713344,Likely R,R+3.0,N/A,R+10.0,R+2.5,R+43.2
AR-SEN,AR,AR,S0AR00218,Daniel Allen Whitfield,Daniel,Whitfield,CHALLENGER,S4AR00103,Thomas Cotton,Thomas,Cotton,INCUMBENT,-10.0,,,,,,1047.005,5417429.369999999,-7.010725439096544,684289.0,378992.0,759672.0,422300.0,759241.0,396905.0,358749.0,786051.0,2312273.0,1653772.0,162002.0,351878.0,48739.0,84912.0,10293.0,187200.0,283367.0,360826.0,206492.0,55972.0,1291839.0,324137.0,190897.0,231136.0,428801.0,487694.0,-28.921495229557873,2025-10-07,-37.53884536091604,24.975727546942913,75.02427245305708,,,,-37.3109363246036,0.0,1.0,31.23057731954198,68.76942268045802,False,-6.1988588886192915,Likely R,R+10.0,N/A,R+7.0,R+6.2,R+37.5
AZ-01,AZ-01,AZ,H6AZ01298,Jonathan Treble,Jonathan,Treble,CHALLENGER,H4AZ06045,David S Schweikert,David,Schweikert,INCUMBENT,-0.3534249525701633,,,,,,564873.005,1062421.195,-0.8893176375420253,181224.0,165573.0,225040.0,231818.0,230237.0,216232.0,208966.0,225538.0,,,,,,,,,,,,,,,,,,,-0.6994709617391434,2025-10-07,0.41210276504348736,50.29167197921153,49.70832802078847,,,,0.40284187561227736,0.0,1.0,50.20605138252174,49.79394861747826,False,3.5489386931818347,Toss-up,R+0.4,N/A,R+0.9,D+3.5,D+0.4
