simulation,gcb,dem_house_seats,rep_house_seats,dem_house_win,rep_house_win,dem_senate_seats,rep_senate_seats,dem_senate_win,rep_senate_win
average,2.3089889081568544,232.617,202.383,61.25,38.75,48.4345,51.5655,30.6,69.4
0,8.368192663023224,246.0,189.0,100.0,0.0,49.0,51.0,0.0,100.0
1,5.739845823433225,238.0,197.0,100.0,0.0,49.0,51.0,0.0,100.0
2,12.897549210413224,262.0,173.0,100.0,0.0,53.0,47.0,100.0,0.0
3,-7.9948683353367755,202.0,233.0,0.0,100.0,45.0,55.0,0.0,100.0
4,19.067527442893226,300.0,135.0,100.0,0.0,58.0,42.0,100.0,0.0
5,-6.207545347676776,206.0,229.0,0.0,100.0,45.0,55.0,0.0,100.0
6,5.330773580003225,236.0,199.0,100.0,0.0,49.0,51.0,0.0,100.0
7,-17.320974223896776,155.0,280.0,0.0,100.0,38.0,62.0,0.0,100.0
8,21.648299985283224,323.0,112.0,100.0,0.0,58.0,42.0,100.0,0.0
9,-6.748717713106775,205.0,230.0,0.0,100.0,45.0,55.0,0.0,100.0
10,-9.624301495546774,196.0,239.0,0.0,100.0,43.0,57.0,0.0,100.0
11,15.728762694413225,281.0,154.0,100.0,0.0,56.0,44.0,100.0,0.0
12,-17.327005265846775,155.0,280.0,0.0,100.0,38.0,62.0,0.0,100.0
13,13.007973653783225,262.0,173.0,100.0,0.0,53.0,47.0,100.0,0.0
14,10.885956282873225,258.0,177.0,100.0,0.0,53.0,47.0,100.0,0.0
15,13.076725543563224,262.0,173.0,100.0,0.0,53.0,47.0,100.0,0.0
16,-16.095831440446776,161.0,274.0,0.0,100.0,39.0,61.0,0.0,100.0
17,14.873877488033225,277.0,158.0,100.0,0.0,56.0,44.0,100.0,0.0
18,20.013631508173226,309.0,126.0,100.0,0.0,58.0,42.0,100.0,0.0
19,-10.645122177326774,193.0,242.0,0.0,100.0,43.0,57.0,0.0,100.0
20,13.811986374183224,268.0,167.0,100.0,0.0,53.0,47.0,100.0,0.0
21,18.143364608513224,294.0,141.0,100.0,0.0,57.0,43.0,100.0,0.0
22,12.235887269513224,260.0,175.0,100.0,0.0,53.0,47.0,100.0,0.0
23,-16.937830577346777,158.0,277.0,0.0,100.0,38.0,62.0,0.0,100.0
24,8.777454704063224,252.0,183.0,100.0,0.0,49.0,51.0,0.0,100.0
25,-2.932449702986776,217.0,218.0,0.0,100.0,46.0,54.0,0.0,100.0
26,-9.410636034716775,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
27,18.325908655693226,294.0,141.0,100.0,0.0,57.0,43.0,100.0,0.0
28,1.9153151678332243,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
29,-8.171978997176776,202.0,233.0,0.0,100.0,45.0,55.0,0.0,100.0
30,-10.452689169616775,194.0,241.0,0.0,100.0,43.0,57.0,0.0,100.0
31,-6.841416538656775,205.0,230.0,0.0,100.0,45.0,55.0,0.0,100.0
32,2.3217442967432245,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
33,-14.576957901796774,171.0,264.0,0.0,100.0,39.0,61.0,0.0,100.0
34,16.902850672703224,288.0,147.0,100.0,0.0,57.0,43.0,100.0,0.0
35,4.691667679383224,234.0,201.0,100.0,0.0,49.0,51.0,0.0,100.0
36,6.127757334163224,238.0,197.0,100.0,0.0,49.0,51.0,0.0,100.0
37,2.3145924559232243,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
38,-9.418056789246775,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
39,-15.866224536716775,162.0,273.0,0.0,100.0,39.0,61.0,0.0,100.0
40,7.119045079323225,240.0,195.0,100.0,0.0,49.0,51.0,0.0,100.0
41,-14.433353285766774,171.0,264.0,0.0,100.0,40.0,60.0,0.0,100.0
42,19.375725913483226,303.0,132.0,100.0,0.0,58.0,42.0,100.0,0.0
43,-4.382249382276775,209.0,226.0,0.0,100.0,45.0,55.0,0.0,100.0
44,21.980837791583223,324.0,111.0,100.0,0.0,58.0,42.0,100.0,0.0
45,2.5257452169532244,227.0,208.0,100.0,0.0,49.0,51.0,0.0,100.0
46,14.932045646423225,277.0,158.0,100.0,0.0,56.0,44.0,100.0,0.0
47,-14.843123007196777,170.0,265.0,0.0,100.0,39.0,61.0,0.0,100.0
48,-9.402733051566775,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
49,22.220666790193224,326.0,109.0,100.0,0.0,58.0,42.0,100.0,0.0
50,-16.858773839686776,158.0,277.0,0.0,100.0,38.0,62.0,0.0,100.0
51,20.179137121053223,312.0,123.0,100.0,0.0,58.0,42.0,100.0,0.0
52,15.907434182883225,283.0,152.0,100.0,0.0,56.0,44.0,100.0,0.0
53,4.7635535428132245,234.0,201.0,100.0,0.0,49.0,51.0,0.0,100.0
54,-2.514557029276775,217.0,218.0,0.0,100.0,46.0,54.0,0.0,100.0
55,-3.3875884711367754,214.0,221.0,0.0,100.0,45.0,55.0,0.0,100.0
56,-2.6866105285367756,217.0,218.0,0.0,100.0,46.0,54.0,0.0,100.0
57,5.6602892873632245,237.0,198.0,100.0,0.0,49.0,51.0,0.0,100.0
58,13.962470628263224,270.0,165.0,100.0,0.0,53.0,47.0,100.0,0.0
59,-9.057371884356774,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
60,12.288854382403224,260.0,175.0,100.0,0.0,53.0,47.0,100.0,0.0
61,20.387635767003225,315.0,120.0,100.0,0.0,58.0,42.0,100.0,0.0
62,20.863054144433224,315.0,120.0,100.0,0.0,58.0,42.0,100.0,0.0
63,9.901210650913224,255.0,180.0,100.0,0.0,50.0,50.0,0.0,100.0
64,10.282941958213225,256.0,179.0,100.0,0.0,50.0,50.0,0.0,100.0
65,-15.371089941556775,164.0,271.0,0.0,100.0,39.0,61.0,0.0,100.0
66,-14.959459258666776,167.0,268.0,0.0,100.0,39.0,61.0,0.0,100.0
67,-11.141474091646774,188.0,247.0,0.0,100.0,42.0,58.0,0.0,100.0
68,2.2776008068532243,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
69,1.7712304563932244,226.0,209.0,100.0,0.0,49.0,51.0,0.0,100.0
70,2.5544260968432244,227.0,208.0,100.0,0.0,49.0,51.0,0.0,100.0
71,-3.889028342916776,210.0,225.0,0.0,100.0,45.0,55.0,0.0,100.0
72,6.7195830364132245,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
73,13.521047663463225,264.0,171.0,100.0,0.0,53.0,47.0,100.0,0.0
74,9.859079493683224,255.0,180.0,100.0,0.0,50.0,50.0,0.0,100.0
75,12.347458066483226,260.0,175.0,100.0,0.0,53.0,47.0,100.0,0.0
76,8.438388302263224,247.0,188.0,100.0,0.0,49.0,51.0,0.0,100.0
77,4.007074311843224,231.0,204.0,100.0,0.0,49.0,51.0,0.0,100.0
78,16.986338434023224,288.0,147.0,100.0,0.0,57.0,43.0,100.0,0.0
79,11.540459154323225,259.0,176.0,100.0,0.0,53.0,47.0,100.0,0.0
80,-9.070309915346774,198.0,237.0,0.0,100.0,43.0,57.0,0.0,100.0
81,20.041379201633227,310.0,125.0,100.0,0.0,58.0,42.0,100.0,0.0
82,-15.921235341526774,161.0,274.0,0.0,100.0,39.0,61.0,0.0,100.0
83,15.533760180653225,279.0,156.0,100.0,0.0,56.0,44.0,100.0,0.0
84,19.161966126563225,300.0,135.0,100.0,0.0,58.0,42.0,100.0,0.0
85,3.3773166264932244,229.0,206.0,100.0,0.0,49.0,51.0,0.0,100.0
86,-11.678301827876775,186.0,249.0,0.0,100.0,42.0,58.0,0.0,100.0
87,-15.810088877396776,162.0,273.0,0.0,100.0,39.0,61.0,0.0,100.0
88,-3.521724372856776,213.0,222.0,0.0,100.0,45.0,55.0,0.0,100.0
89,-11.136027223036775,188.0,247.0,0.0,100.0,42.0,58.0,0.0,100.0
90,0.07056571328322425,223.0,212.0,100.0,0.0,48.0,52.0,0.0,100.0
91,8.440065844223225,247.0,188.0,100.0,0.0,49.0,51.0,0.0,100.0
92,21.477892364983227,321.0,114.0,100.0,0.0,58.0,42.0,100.0,0.0
93,6.669818315233224,239.0,196.0,100.0,0.0,49.0,51.0,0.0,100.0
94,8.937362905853224,252.0,183.0,100.0,0.0,49.0,51.0,0.0,100.0
